name;duration(ms);pkg(µj);dram(µj);temp(C)
Hamming_numbers_1;1,078.944;49139828;1337216;56
Find_common_directory_path_0;3.651;64636;1098;48.5
Pi_1;13.403;423277;8972;47.5
Named_parameters_0;2.488;89599;2197;51
Imaginary_base_numbers_0;6.152;162719;2381;45
Base64_decode_data_0;2.924;35584;672;44
Levenshtein_distance_0;2.334;33447;549;51
Bacon_cipher_0;6.522;198791;2502;45.5
Angle_difference_between_two_bearings_0;2.737;33020;550;46.5
Best_shuffle_2;2.838;64941;977;48.5
Create_an_HTML_table_0;2.621;48279;1587;51
Polynomial_synthetic_division_0;3.836;91919;2258;49.5
The_Name_Game_0;4.231;118407;2075;49
P-value_correction_0;10.489;335998;4699;46
Object_serialization_0;14.672;514586;9765;48
Smith_numbers_0;5.387;171813;2075;50
Harshad_or_Niven_series_0;2.812;64758;488;51.5
Move-to-front_algorithm_0;2.663;64637;976;46.5
Negative_base_numbers_0;4.579;104370;1770;48.5
Amicable_pairs_0;787.360;30678510;411742;51.5
Mersenne_primes_0;26,157.883;872943078;13061918;51.5
Symmetric_difference_0;2.918;30517;549;47.5
Zero_to_the_zero_power_0;2.478;45288;977;47
100_doors_2;2.305;32898;488;52.5
Caesar_cipher_0;3.993;101990;1465;50
Langtons_ant_0;4.552;165222;3113;45
Pierpont_primes_0;1,664.218;63437155;865355;54.5
Anagrams_0;1,521.844;25862483;828672;47
Pascals_triangle_0;2.403;32898;550;47
Humble_numbers_0;88,758.621;2994126002;42546095;47.5
Hailstone_sequence_0;119.968;4529224;60425;51
Zebra_puzzle_1;317,499.881;4016424960;146932729;42
One-dimensional_cellular_automata_0;2.610;32959;977;46
Lah_numbers_0;8.367;234313;4150;45.5
Hamming_numbers_0;485.236;17978836;508360;50
FizzBuzz_2;3.256;98877;976;47.5
Largest_number_divisible_by_its_digits_0;13,679.875;508233074;8657387;51.5
Chemical_calculator_0;7.629;302733;5493;57.5
Chebyshev_coefficients_0;4.064;132995;3906;52
Chaocipher_0;3.490;66711;1038;48
Find_the_missing_permutation_0;2.798;65185;976;48.5
Kolakoski_sequence_0;2.988;67383;1038;45
Fivenum_0;4.066;98450;1403;49
