Name;Sample Mean (µj);Standard Deviation(µj);Standard Error (µj);Standard Error (%);Runs
MLApproach/correct_benchmarks/example-of-a-sealed-class_0;34.154,90;9.808,10;55,78;0,16%;30920
MLApproach/correct_benchmarks/find-sum-of-all-digits-of-a-given-number_0;36.220,16;10.996,46;93,48;0,26%;13838
MLApproach/correct_benchmarks/print-the-integer-values-of-enum-constants_0;36.299,79;10.959,63;93,87;0,26%;13630
MLApproach/correct_benchmarks/csharp-program-environment-type_0;35.339,00;0,00;0,00;0,00%;1000
MLApproach/correct_benchmarks/Combinations_2;71.289,25;10.855,64;343,29;0,48%;1000
MLApproach/correct_benchmarks/define-fibonacci-series-write-a-program-to-print-fibonacci-series-in-c-sharp_0;37.548,43;12.178,30;93,56;0,25%;16944
MLApproach/correct_benchmarks/N_plus_one_half_0;34.335,46;9.667,46;53,44;0,16%;32731
MLApproach/correct_benchmarks/this-reference-in-c-sharpnet-with-example_0;36.300,93;11.191,72;96,10;0,26%;13563
MLApproach/correct_benchmarks/Detect_division_by_zero_0;388.442,80;32.391,81;1.024,32;0,26%;1000
MLApproach/correct_benchmarks/bitwise-operators-example-in-c-sharp_0;35.104,25;10.982,94;75,01;0,21%;21440
MLApproach/correct_benchmarks/csharp-program-concatenate-strings_0;32.912,42;11.067,48;50,38;0,15%;48251
MLApproach/correct_benchmarks/csharp-program-add-complex-numbers_0;38.130,68;12.622,91;36,28;0,10%;121032
MLApproach/correct_benchmarks/csharp-program-automatic-generation-register-numbers_0;35.459,42;10.514,77;68,19;0,19%;23775
MLApproach/correct_benchmarks/how-to-trim-the-string-in-c-sharp-an-example-of-string-trim-method_0;32.815,14;9.949,75;51,28;0,16%;37650
MLApproach/correct_benchmarks/csharp-program-length-string_0;33.627,89;10.653,15;67,24;0,20%;25103
MLApproach/correct_benchmarks/implement-the-same-method-in-multiple-classes_0;36.197,37;10.565,70;97,17;0,27%;11823
MLApproach/correct_benchmarks/csharp-program-create-obsolete-class_0;33.186,34;9.548,61;51,56;0,16%;34301
MLApproach/correct_benchmarks/csharp-program-actions_0;38.583,32;12.950,12;108,00;0,28%;14377
MLApproach/correct_benchmarks/pad-string-from-left-using-string-padleft-in-c-sharp_0;33.268,94;10.154,13;64,92;0,20%;24465
MLApproach/correct_benchmarks/Feigenbaum_constant_calculation_0;59.557,89;14.222,54;129,26;0,22%;12106
MLApproach/correct_benchmarks/Delete_a_file_0;175.365,50;14.485,98;458,09;0,26%;1000
MLApproach/correct_benchmarks/Compile-time_calculation_3;32.580,99;9.921,93;47,93;0,15%;42856
MLApproach/correct_benchmarks/explain-cascaded-method-call-in-c-sharp-with-an-example_0;35.181,86;11.195,75;32,09;0,09%;121720
MLApproach/correct_benchmarks/Root_mean_square_0;44.156,80;16.184,56;113,50;0,26%;20333
MLApproach/correct_benchmarks/demonstrate-the-static-class_0;34.936,18;11.529,88;69,02;0,20%;27903
MLApproach/correct_benchmarks/csharp-program-heap-sort_0;57.872,35;16.698,10;124,91;0,22%;17870
MLApproach/correct_benchmarks/Array_length_2;33.208,59;9.958,17;58,56;0,18%;28921
MLApproach/correct_benchmarks/demonstrate-the-simple-interface_0;34.945,71;10.114,69;71,83;0,21%;19828
MLApproach/correct_benchmarks/Factorial_1;34.603,05;10.875,05;53,68;0,16%;41041
MLApproach/correct_benchmarks/csharp-program-value-cosx_0;44.660,16;17.332,45;126,06;0,28%;18905
MLApproach/correct_benchmarks/default-arguments-in-c-sharp_0;36.852,42;12.746,46;75,18;0,20%;28744
MLApproach/correct_benchmarks/Classes_0;35.259,04;12.245,71;71,73;0,20%;29145
MLApproach/correct_benchmarks/Continue_0;35.406,44;10.823,54;68,10;0,19%;25257
MLApproach/correct_benchmarks/Compile-time_calculation_0;32.570,37;10.221,67;52,28;0,16%;38229
MLApproach/correct_benchmarks/find-out-the-leap-years-from-1900-to-1950-in-c-sharp_0;37.253,77;11.921,33;103,91;0,28%;13162
MLApproach/correct_benchmarks/reverse-digits-of-a-given-number_0;35.912,48;12.191,03;108,38;0,30%;12652
MLApproach/correct_benchmarks/Newline_omission_0;32.601,96;10.923,22;59,86;0,18%;33297
MLApproach/correct_benchmarks/Find_the_intersection_of_a_line_with_a_plane_0;46.604,75;16.911,92;119,03;0,26%;20187
MLApproach/correct_benchmarks/sizeof-operator-example-in-c-sharp_0;34.774,50;10.741,24;84,15;0,24%;16293
MLApproach/correct_benchmarks/method-returning-object-in-c-sharp_0;36.637,57;11.845,28;99,57;0,27%;14153
MLApproach/correct_benchmarks/99_bottles_of_beer_0;40.077,67;15.160,03;114,96;0,29%;17390
MLApproach/correct_benchmarks/calculate-the-cosine-x-using-a-predefined-method_0;41.756,07;14.661,35;111,41;0,27%;17317
MLApproach/correct_benchmarks/type-conversion-from-double-to-int_0;37.921,22;12.098,39;107,82;0,28%;12591
MLApproach/correct_benchmarks/csharp-program-Add-timespan_0;35.570,10;12.027,15;74,15;0,21%;26310
MLApproach/correct_benchmarks/demonstrate-the-static-constructor_0;34.468,10;10.288,87;57,67;0,17%;31830
MLApproach/correct_benchmarks/FizzBuzz_4;36.556,41;12.425,33;91,53;0,25%;18428
MLApproach/correct_benchmarks/csharp-program-illustrate-trignometry-radians_0;40.858,87;13.942,42;107,58;0,26%;16795
MLApproach/correct_benchmarks/how-to-call-non-trailing-arguments-as-default-argument-in-c-sharp_0;36.748,84;11.851,48;37,34;0,10%;100746
MLApproach/correct_benchmarks/csharp-program-create-anonymous_0;35.679,10;11.762,53;79,36;0,22%;21966
MLApproach/correct_benchmarks/longlength-property-of-array_0;33.477,10;10.010,84;52,44;0,16%;36441
MLApproach/correct_benchmarks/csharp-program-create-generic-delegate_0;38.325,19;11.950,20;93,77;0,24%;16241
MLApproach/correct_benchmarks/csharp-program-results-delegates_0;35.453,34;11.986,56;79,15;0,22%;22932
MLApproach/correct_benchmarks/Factorial_2;36.382,02;11.056,83;84,87;0,23%;16971
MLApproach/correct_benchmarks/Power_set_3;42.786,87;16.133,87;111,87;0,26%;20798
MLApproach/correct_benchmarks/demonstrate-the-pragma-preprocessor-directive_0;31.719,80;10.733,68;57,24;0,18%;35165
MLApproach/correct_benchmarks/console-write-and-console-writeline-example-in-c-sharp_0;32.864,04;10.266,78;52,48;0,16%;38271
MLApproach/correct_benchmarks/Array_length_0;33.247,97;10.429,64;32,26;0,10%;104537
MLApproach/correct_benchmarks/example-of-new-keyword_0;35.056,78;10.333,66;65,02;0,19%;25256
MLApproach/correct_benchmarks/Pythagorean_quadruples_0;501.777,89;38.191,53;1.207,72;0,24%;1000
MLApproach/correct_benchmarks/count-the-lines-in-a-given-string_0;37.222,93;12.902,22;83,26;0,22%;24014
MLApproach/correct_benchmarks/_0;37.647,20;11.796,92;99,87;0,27%;13954
MLApproach/correct_benchmarks/csharp-program-selection-sort_0;45.583,84;16.603,47;116,11;0,25%;20449
MLApproach/correct_benchmarks/String_append_0;32.840,10;10.228,79;13,27;0,04%;593863
MLApproach/correct_benchmarks/demonstrate-method-overloading-based-on-the-number-of-arguments_0;35.731,61;10.464,00;64,53;0,18%;26297
MLApproach/correct_benchmarks/create-an-obsolete-method-in-a-class_0;33.329,76;9.473,55;54,27;0,16%;30469
MLApproach/correct_benchmarks/using-string-with-switch-case-statement-in-c-sharp_0;33.716,10;10.935,70;49,67;0,15%;48467
MLApproach/correct_benchmarks/check-whether-string-contains-substring-or-not-in-c-sharp_0;33.918,92;10.753,50;53,16;0,16%;40920
MLApproach/correct_benchmarks/Encode_0;48.561,47;18.575,65;103,11;0,21%;32453
MLApproach/correct_benchmarks/csharp-program-declare-instantiate-delegates_0;34.410,46;10.203,41;55,99;0,16%;33207
