,name,sample mean (µj),LinearRegression,Lasso,Ridge,RandomForestRegressor,SVR,energy-model
0,example-of-a-sealed-class_0,34154.90,50841.864973877484,49958.22187753446,35511.99312625577,34615.6087170918,36716.9603128047,2933.9848271779892
1,find-sum-of-all-digits-of-a-given-number_0,36220.16,-10725989.184091209,-3589324.8216465563,66502.80713217515,37463.32900668248,36700.29752724208,530043.420974678
2,print-the-integer-values-of-enum-constants_0,36299.79,61003.36385506109,43635.958647986365,64685.59325128271,36418.81367912903,36697.63718243164,11377.955912870355
3,csharp-program-environment-type_0,35339.00,35902.274648288265,35214.19060906659,40997.17542198499,33443.834512815876,35649.317193214214,433.42039125723386
4,Combinations_2,71289.25,72155.8906749962,56236.08388270266,71687.66946882122,44539.96579377845,36714.49679153526,1966.6776402620826
5,define-fibonacci-series-write-a-program-to-print-fibonacci-series-in-c-sharp_0,37548.43,-73767.98786549215,42327.9592895666,83326.11126691716,39173.844745992894,36655.92268469748,41656.88436705265
6,N_plus_one_half_0,34335.46,969439.8773336733,35197.59981185923,82633.48409281121,36934.26580854518,36717.107023072196,24244.797132855303
7,this-reference-in-c-sharpnet-with-example_0,36300.93,144935.26198128832,52621.20892645464,102983.05922372536,36428.83492161528,36697.59911863224,8450.05408145376
8,Detect_division_by_zero_0,388442.80,47621.69039394407,41784.26270785068,50409.69982177833,100641.70528289043,36672.020325638834,726.7532735568075
9,bitwise-operators-example-in-c-sharp_0,35104.25,-235372.4044380315,12880.521721992263,-96308.93271213016,36960.28323537141,36717.10702307221,23436.155276653095
10,csharp-program-concatenate-strings_0,32912.42,21437.643849501823,33711.873106758416,27885.360070708724,34153.199645983,36625.57041674538,3400.039208087268
11,csharp-program-add-complex-numbers_0,38130.68,37299.081975747824,51881.0251035904,36514.288281410576,37276.34346999012,36652.44442869759,9541.535179576591
12,csharp-program-automatic-generation-register-numbers_0,35459.42,44994.732814742,39569.78046737271,48199.87739378203,37954.94412847612,36717.10553130575,11335.63973591139
13,how-to-trim-the-string-in-c-sharp-an-example-of-string-trim-method_0,32815.14,46827.311089531104,45736.06882080811,44194.87494145655,34273.48998453936,36430.62591877109,2972.902931013161
14,csharp-program-length-string_0,33627.89,26090.112660368766,39528.68975854339,34726.96045783373,34439.40945587213,36575.349576582164,7591.706476607188
15,implement-the-same-method-in-multiple-classes_0,36197.37,47998.02514010815,45713.52798556716,43975.05361448931,36063.258723644954,36685.3453310672,5927.268017396156
16,csharp-program-create-obsolete-class_0,33186.34,33463.05409490342,40793.62361497438,50896.455605838346,33639.6722035698,36670.808212796655,688.6670312185352
17,csharp-program-actions_0,38583.32,-7088.956463549301,24241.86833659513,9824.057654745673,36706.83398171999,36652.69350975425,9883.84481769978
18,pad-string-from-left-using-string-padleft-in-c-sharp_0,33268.94,48069.48994706058,45728.39043746327,43511.01073792913,35493.13917154492,36636.00644071033,2981.595166935802
19,Feigenbaum_constant_calculation_0,59557.89,1.9551765507550204e+16,-3277894458.687738,-901442564.4064243,44387.04879722219,36652.444425825204,611635068.7167957
20,Delete_a_file_0,175365.50,48265.60239060831,45384.37030101072,55574.82429373577,86084.85040720778,36112.330534016895,-187.86150446661668
21,Compile-time_calculation_3,32580.99,58223.59815251011,47567.82353700542,49333.81765763488,34173.049609324706,36473.897324523416,780.0247646387652
22,explain-cascaded-method-call-in-c-sharp-with-an-example_0,35181.86,-4796.969083112526,39360.653742248534,10109.52620649516,37420.50559070867,36707.485773151566,4780.102096354558
23,Root_mean_square_0,44156.80,-689994.1875609695,61875.139228713364,152295.88152782098,69579.981,36652.444425825204,77264.11686373672
24,demonstrate-the-static-class_0,34936.18,58436.9373188177,28659.66632965094,38681.54764454624,35800.381555468644,36715.22508509012,5020.0025618514055
25,csharp-program-heap-sort_0,57872.35,8550808.718028883,-24247.222397343714,682143.0370182265,62633.71343333331,36652.444425825204,116577.45293690215
26,Array_length_2,33208.59,51868.50168662166,49168.69968894638,59006.93674836004,34125.91342043723,36512.86794521579,5475.980448074806
27,demonstrate-the-simple-interface_0,34945.71,45806.95663534372,45752.76168570434,42862.905979408686,35257.24988730783,36707.47657295991,3175.0500926793393
