Name;Sample Mean (µj);Standard Deviation(µj);Standard Error (µj);Standard Error (%);Runs
MLApproach/correct_benchmarks/example-of-a-sealed-class_0;425,61;182,54;1,04;0,24%;30920
MLApproach/correct_benchmarks/find-sum-of-all-digits-of-a-given-number_0;458,19;151,20;1,29;0,28%;13838
MLApproach/correct_benchmarks/print-the-integer-values-of-enum-constants_0;456,85;147,27;1,26;0,28%;13630
MLApproach/correct_benchmarks/csharp-program-environment-type_0;488,00;0,00;0,00;0,00%;1000
MLApproach/correct_benchmarks/Combinations_2;948,15;134,14;4,24;0,45%;1000
MLApproach/correct_benchmarks/define-fibonacci-series-write-a-program-to-print-fibonacci-series-in-c-sharp_0;478,49;140,40;1,08;0,23%;16944
MLApproach/correct_benchmarks/N_plus_one_half_0;435,77;172,93;0,96;0,22%;32731
MLApproach/correct_benchmarks/this-reference-in-c-sharpnet-with-example_0;460,71;147,96;1,27;0,28%;13563
MLApproach/correct_benchmarks/Detect_division_by_zero_0;6.008,96;697,60;22,06;0,37%;1000
MLApproach/correct_benchmarks/bitwise-operators-example-in-c-sharp_0;446,31;167,83;1,15;0,26%;21440
MLApproach/correct_benchmarks/csharp-program-concatenate-strings_0;408,97;241,24;1,10;0,27%;48251
MLApproach/correct_benchmarks/csharp-program-add-complex-numbers_0;491,02;144,01;0,41;0,08%;121032
MLApproach/correct_benchmarks/csharp-program-automatic-generation-register-numbers_0;453,67;167,86;1,09;0,24%;23775
MLApproach/correct_benchmarks/how-to-trim-the-string-in-c-sharp-an-example-of-string-trim-method_0;411,29;199,95;1,03;0,25%;37650
MLApproach/correct_benchmarks/csharp-program-length-string_0;424,25;190,39;1,20;0,28%;25103
MLApproach/correct_benchmarks/implement-the-same-method-in-multiple-classes_0;464,39;137,37;1,26;0,27%;11823
MLApproach/correct_benchmarks/csharp-program-create-obsolete-class_0;413,80;190,92;1,03;0,25%;34301
MLApproach/correct_benchmarks/csharp-program-actions_0;492,98;134,22;1,12;0,23%;14377
MLApproach/correct_benchmarks/pad-string-from-left-using-string-padleft-in-c-sharp_0;415,39;211,68;1,35;0,33%;24465
MLApproach/correct_benchmarks/Feigenbaum_constant_calculation_0;819,89;243,72;2,22;0,27%;12106
MLApproach/correct_benchmarks/Delete_a_file_0;2.686,45;285,49;9,03;0,34%;1000
MLApproach/correct_benchmarks/Compile-time_calculation_3;404,75;200,77;0,97;0,24%;42856
MLApproach/correct_benchmarks/explain-cascaded-method-call-in-c-sharp-with-an-example_0;441,21;184,85;0,53;0,12%;121720
MLApproach/correct_benchmarks/Root_mean_square_0;589,27;194,09;1,36;0,23%;20333
MLApproach/correct_benchmarks/demonstrate-the-static-class_0;439,11;174,20;1,04;0,24%;27903
MLApproach/correct_benchmarks/csharp-program-heap-sort_0;765,28;259,14;1,94;0,25%;17870
MLApproach/correct_benchmarks/Array_length_2;413,99;192,16;1,13;0,27%;28921
MLApproach/correct_benchmarks/demonstrate-the-simple-interface_0;439,22;166,45;1,18;0,27%;19828
MLApproach/correct_benchmarks/Factorial_1;433,32;192,53;0,95;0,22%;41041
MLApproach/correct_benchmarks/csharp-program-value-cosx_0;605,40;226,86;1,65;0,27%;18905
MLApproach/correct_benchmarks/default-arguments-in-c-sharp_0;462,81;149,44;0,88;0,19%;28744
MLApproach/correct_benchmarks/Classes_0;444,14;189,13;1,11;0,25%;29145
MLApproach/correct_benchmarks/Continue_0;448,04;180,21;1,13;0,25%;25257
MLApproach/correct_benchmarks/Compile-time_calculation_0;406,80;209,77;1,07;0,26%;38229
MLApproach/correct_benchmarks/find-out-the-leap-years-from-1900-to-1950-in-c-sharp_0;478,55;146,07;1,27;0,27%;13162
MLApproach/correct_benchmarks/reverse-digits-of-a-given-number_0;459,01;187,09;1,66;0,36%;12652
MLApproach/correct_benchmarks/Newline_omission_0;406,51;210,45;1,15;0,28%;33297
MLApproach/correct_benchmarks/Find_the_intersection_of_a_line_with_a_plane_0;610,44;210,66;1,48;0,24%;20187
MLApproach/correct_benchmarks/sizeof-operator-example-in-c-sharp_0;441,09;187,75;1,47;0,33%;16293
MLApproach/correct_benchmarks/method-returning-object-in-c-sharp_0;462,89;142,58;1,20;0,26%;14153
MLApproach/correct_benchmarks/99_bottles_of_beer_0;515,54;223,02;1,69;0,33%;17390
MLApproach/correct_benchmarks/calculate-the-cosine-x-using-a-predefined-method_0;561,43;168,21;1,28;0,23%;17317
MLApproach/correct_benchmarks/type-conversion-from-double-to-int_0;498,30;143,00;1,27;0,26%;12591
MLApproach/correct_benchmarks/csharp-program-Add-timespan_0;451,40;179,28;1,11;0,24%;26310
MLApproach/correct_benchmarks/demonstrate-the-static-constructor_0;430,18;183,13;1,03;0,24%;31830
MLApproach/correct_benchmarks/FizzBuzz_4;465,66;172,17;1,27;0,27%;18428
MLApproach/correct_benchmarks/csharp-program-illustrate-trignometry-radians_0;552,11;164,11;1,27;0,23%;16795
MLApproach/correct_benchmarks/how-to-call-non-trailing-arguments-as-default-argument-in-c-sharp_0;465,65;155,27;0,49;0,11%;100746
MLApproach/correct_benchmarks/csharp-program-create-anonymous_0;449,84;202,04;1,36;0,30%;21966
MLApproach/correct_benchmarks/longlength-property-of-array_0;421,21;191,75;1,00;0,24%;36441
MLApproach/correct_benchmarks/csharp-program-create-generic-delegate_0;495,24;133,84;1,05;0,21%;16241
MLApproach/correct_benchmarks/csharp-program-results-delegates_0;449,74;237,99;1,57;0,35%;22932
MLApproach/correct_benchmarks/Factorial_2;459,50;146,81;1,13;0,25%;16971
MLApproach/correct_benchmarks/Power_set_3;552,48;200,30;1,39;0,25%;20798
MLApproach/correct_benchmarks/demonstrate-the-pragma-preprocessor-directive_0;389,00;212,35;1,13;0,29%;35165
MLApproach/correct_benchmarks/console-write-and-console-writeline-example-in-c-sharp_0;408,15;204,42;1,04;0,26%;38271
MLApproach/correct_benchmarks/Array_length_0;412,08;197,36;0,61;0,15%;104537
MLApproach/correct_benchmarks/example-of-new-keyword_0;442,09;166,54;1,05;0,24%;25256
MLApproach/correct_benchmarks/Pythagorean_quadruples_0;9.336,67;1.179,92;37,31;0,40%;1000
MLApproach/correct_benchmarks/count-the-lines-in-a-given-string_0;474,01;141,28;0,91;0,19%;24014
MLApproach/correct_benchmarks/_0;485,74;131,59;1,11;0,23%;13954
MLApproach/correct_benchmarks/csharp-program-selection-sort_0;597,65;203,55;1,42;0,24%;20449
MLApproach/correct_benchmarks/String_append_0;409,24;206,94;0,27;0,07%;593863
MLApproach/correct_benchmarks/demonstrate-method-overloading-based-on-the-number-of-arguments_0;451,38;159,60;0,98;0,22%;26297
MLApproach/correct_benchmarks/create-an-obsolete-method-in-a-class_0;414,58;191,99;1,10;0,27%;30469
MLApproach/correct_benchmarks/using-string-with-switch-case-statement-in-c-sharp_0;414,74;204,48;0,93;0,22%;48467
MLApproach/correct_benchmarks/check-whether-string-contains-substring-or-not-in-c-sharp_0;418,19;200,03;0,99;0,24%;40920
MLApproach/correct_benchmarks/Encode_0;632,79;259,10;1,44;0,23%;32453
MLApproach/correct_benchmarks/csharp-program-declare-instantiate-delegates_0;427,19;188,95;1,04;0,24%;33207
MLApproach/correct_benchmarks/Top_and_tail_0;423,52;209,71;1,25;0,29%;28190
MLApproach/correct_benchmarks/Repeat_0;509,63;146,70;1,19;0,23%;15097
MLApproach/correct_benchmarks/100_doors_0;593,75;211,15;1,49;0,25%;20130
MLApproach/correct_benchmarks/print-messages-in-c-sharp_0;410,77;197,40;1,01;0,25%;38457
