;name;sample mean (µj);LinearRegression;Lasso;Ridge;RandomForestRegressor;SVR;energy-model
0;example-of-a-sealed-class_0;34154,90;50841,8649469255;49958,22187753447;35529,66331608073;34615,6087170918;36716,9603128047;1048,75931428262
1;find-sum-of-all-digits-of-a-given-number_0;36220,16;-10725989,127510771;-3589324,821646544;65549,08245980929;37463,32900668248;36700,29752724208;321881,1451760546
2;print-the-integer-values-of-enum-constants_0;36299,79;5601014691,34097;43635,95864798638;64684,70810302809;36418,81367912903;36697,63718243164;3969,7532450740623
3;csharp-program-environment-type_0;35339,00;29403,54288027488;35214,19060906658;40969,906505522;33443,834512815876;35649,317193214214;82,51196181544765
4;Combinations_2;71289,25;50569,10103701929;56236,08388270273;71685,73758116394;44539,96579377845;36714,49679153526;1372,330640561504
5;define-fibonacci-series-write-a-program-to-print-fibonacci-series-in-c-sharp_0;37548,43;488896,2502539755;42327,95928956665;83489,81358815686;39173,844745992894;36655,92268469748;12505,660724091062
6;N_plus_one_half_0;34335,46;973571,0539217545;35197,59981185923;82616,64960245223;36934,26580854518;36717,107023072196;14169,65814517696
7;this-reference-in-c-sharpnet-with-example_0;36300,93;144125,93190417934;52621,20892645467;103044,23932695617;36428,83492161528;36697,59911863224;3641,5297570620132
8;Detect_division_by_zero_0;388442,80;48124,368223385776;41784,26270785066;50434,17899208008;100641,70528289043;36672,020325638834;468,43879476426264
9;bitwise-operators-example-in-c-sharp_0;35104,25;-282545,8294602228;12880,521721992205;-96247,25025907837;36960,28323537141;36717,10702307221;12966,102772343078
10;csharp-program-concatenate-strings_0;32912,42;28066,35853928636;33711,87310675839;27973,8202166601;34153,199645983;36625,57041674538;740,8382074970568
11;csharp-program-add-complex-numbers_0;38130,68;5857472,307189439;51881,02510359049;36517,77746903308;37276,34346999012;36652,44442869759;6821,7367745575575
12;csharp-program-automatic-generation-register-numbers_0;35459,42;-16787,055091953844;39569,780467372686;48240,631233494016;37954,94412847612;36717,10553130575;6329,60767439988
